Device,IP,Status,Response_Time_ms,Timestamp
Router-01,192.168.1.1,UP,12,2024-01-15 08:00:00
Switch-01,192.168.1.2,UP,8,2024-01-15 08:00:00
Server-01,192.168.1.10,DOWN,0,2024-01-15 08:00:00
Printer-01,192.168.1.50,UP,45,2024-01-15 08:00:00
Router-01,192.168.1.1,UP,14,2024-01-15 09:00:00
Switch-01,192.168.1.2,DOWN,0,2024-01-15 09:00:00
Server-01,192.168.1.10,UP,22,2024-01-15 09:00:00
Printer-01,192.168.1.50,UP,38,2024-01-15 09:00:00
Router-01,192.168.1.1,UP,11,2024-01-15 10:00:00
Switch-01,192.168.1.2,UP,9,2024-01-15 10:00:00
Server-01,192.168.1.10,DOWN,0,2024-01-15 10:00:00
Printer-01,192.168.1.50,UP,52,2024-01-15 10:00:00
